58074,Tietokonegrafiikka
58093,String Processing Algorithms
58127,Programming in C
58131,Tietorakenteet ja algoritmit
58144,Compilers
581251,Software Design (C++)
581257,Tiedonhakumenetelmät
581259,Ohjelmistotuotanto
581305,Tietokoneen toiminta
581324,Tietokone työvälineenä
581325,Ohjelmoinnin perusteet
581328,Tietokantojen perusteet
581358,Ohjelmistoarkkitehtuurit
581359,Ohjelmistoprosessit ja ohjelmistojen laatu
581360,Ohjelmistoprojektien johtaminen ja ryhmädynamiikka
581366,Introduction to Specification and Verification
58153003,Ohjelmistojen suorituskyvyn suunnittelu
582102,Johdatus tietojenkäsittelytieteeseen
582103,Ohjelmoinnin jatkokurssi
582104,Ohjelmistotekniikan menetelmät
582201,Human-Computer Interaction
582202,Tietoliikenteen perusteet
582206,Laskennan mallit
582215,Tietoturvan perusteet
582216,Johdatus tekoälyyn
582217,Semanttinen web
582219,Käyttöjärjestelmät
582317,Linux-ylläpito
582330,Ohjelmointitekniikka (Scala)
582343,Clojure Programming
582350,Ohjelmointihaasteita I
582351,Linux Fundamentals
582353,Web-palvelinohjelmointi Java
582357,Ohjelmointihaasteita II
582358,Laskennan teorian opintopiiri
582368,Web-palvelinohjelmointi Ruby on Rails
582376,Reinforcement Learning Project
582417,Distributed Systems
582482,Tietokannan suunnittelu
582483,Biological Sequence Analysis
582490,Transaktioiden hallinta
582491,Hajautetut tietokannat
582498,Internet Protocols
582508,Ohjelmistotuotantoprojektiin liittyvä työelämään orientointi
582519,Scientific Writing for MSc in Computer Science
582602,Natural Language Processing
582615,Overlay and P2P Networks
582622,CINCO Laboratory
582630,Design and Analysis of Algorithms
582631,Introduction to Machine Learning
582631,Introduction to Machine Learning (Coursera)
582634,Data Mining
582635,Data Mining Project
582636,Probabilistic Models
582637,Project in Probabilistic Models
582638,Unsupervised Machine Learning
582641,Service Ecosystems
582642,Service-Oriented Software Engineering
582646,Mobile Middleware
582648,Code Generation
582650,Information-Theoretic Modeling
582651,Project in Information-Theoretic Modeling
582661,Deterministic Distributed Algorithms
582663,Ohjelmistoarkkitehtuurien harjoitustyö
582665,Distributed Systems Project
582666,Interactive Systems
582668,Project in String Processing Algorithms
582669,Supervised Machine Learning
582670,Algorithms for Bioinformatics
582674,Unsupervised Machine Learning Projects
582676,Project in Biological Sequence Analysis
582681,Interface Technologies
582684,Location-Awareness
582694,Health Informatics
582702,Käyttöliittymien arviointimenetelmät
582703,Methods for Software Engineering Research
582704,Mobile Platform Security
582705,Design and User Evaluation of Augmented-Reality Interfaces
582708,Software Security
582709,Reading Group on Digital Literature
582711,Intelligent Embedded Systems
582712,Kvanttilaskenta
582713,Warehouse-Scale Computing
582714,Pop-Up course: SomeJam
582717,Project in Computational Creativity
582718,The Computational Foundations of Linguistic Creativity
582719,Steganography and Digital Watermarks
582733,Introduction to Game Programming
582737,Security and Privacy Issues for Modern Systems and Technologies
582462,Cryptography and Network Security
582487,Data Compression Techniques
582662,Game Engine Architecture
582366,Introduction to Computational Creativity
581361,Ohjelmistojen testaus
582460,Ohjelmistojen vaatimusmäärittely
581362,Ohjelmointikielten periaatteet
581251,Ohjelmointitekniikka (C++)
582365,Ohjelmointitekniikka (JavaScript)
582652,Palveluperustaisten liiketoimintaprosessien suunnittelu ja toteuttaminen
582643,Programming in Scala
582692,Randomized Algorithms II
582696,Rinnakkaislaskenta grafiikkasuorittimilla
581332,Rinnakkaisohjelmointi
582678,Software Measurement and Quality Modeling
582695,Software Process Definition and Management
581365,Tietokoneen rakenne
582403,Tietovarastot
582354,Web-selainohjelmointi
582304,XML-metakieli
